assay_type,canonical_smiles,molecule_chembl_id,standard_units,standard_value,target_organism,type
B,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccsc1)Oc1ccc(F)cc1-3,CHEMBL134277,nM,215.0,Homo sapiens,IC50
B,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1CCOCCOCc1ccc(O)c(C(N)=O)c1,CHEMBL146794,nM,77.0,Homo sapiens,IC50
B,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3OC1C[C@H](NCNC(=O)c2cc(COCC#CCN3C(=O)N(c4ccc(C#N)c(C(F)(F)F)c4)C(=O)C3(C)C)ccc2O)[C@H](O)[C@H](C)O1,CHEMBL2112885,nM,90.0,Homo sapiens,IC50
B,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccccc1N(C)C)Oc1ccc(F)cc1-3,CHEMBL336353,nM,1500.0,Homo sapiens,IC50
B,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccccc1)Oc1c(F)cccc1-3,CHEMBL413309,nM,900.0,Homo sapiens,IC50
B,NC(=O)c1ccccc1O,CHEMBL27577,nM,1000.0,Homo sapiens,IC50
B,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,CHEMBL717,nM,6.1,Homo sapiens,IC50
B,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1CCOCCOCCOCc1ccc(O)c(C(N)=O)c1,CHEMBL348495,nM,332.0,Homo sapiens,IC50
B,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1CCOCCN1CCN(CCOCc2ccc(O)c(C(N)=O)c2)CC1,CHEMBL347556,nM,346.0,Homo sapiens,IC50
B,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccco1)Oc1ccc(F)cc1-3,CHEMBL336169,nM,258.0,Homo sapiens,IC50
B,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,CHEMBL806,nM,154.0,Homo sapiens,IC50
B,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL103,nM,37.0,Homo sapiens,IC50
B,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccccc1)Oc1ccc(F)cc1-3,CHEMBL134602,nM,640.0,Homo sapiens,IC50
B,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,CHEMBL1274,nM,9.0,Homo sapiens,IC50
B,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1CC#CCOCc1ccc(O)c(C(N)=O)c1,CHEMBL151601,nM,49.0,Homo sapiens,IC50
B,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ncccc1C)Oc1ccc(F)cc1-3,CHEMBL132363,nM,203.0,Homo sapiens,IC50
B,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1CCCCN1CCN(CCOCc2ccc(O)c(C(N)=O)c2)CC1,CHEMBL147457,nM,1000.0,Homo sapiens,IC50
B,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccccc1C)Oc1ccc(F)cc1-3,CHEMBL336736,nM,820.0,Homo sapiens,IC50
B,CC1(C)NC(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C1=O,CHEMBL146858,nM,6.0,Homo sapiens,IC50
B,CN(C)c1ccc([C@H]2C[C@]3(C)[C@@H](CC[C@]3(O)CCCO)[C@@H]3CCC4=CC(=O)CCC4=C32)cc1,CHEMBL1908373,nM,269.0,Homo sapiens,IC50
B,C=C1CC[C@@H](Br)C(C)(C)[C@H]1Cc1cc(OC)c(Br)cc1O,CHEMBL51093,nM,449.0,Homo sapiens,IC50
B,C=C1C=C(C)CC(C)(C)C1Cc1ccc([N+](=O)[O-])cc1,CHEMBL50023,nM,250.0,Homo sapiens,IC50
