assay_type,canonical_smiles,molecule_chembl_id,standard_units,standard_value,target_organism,type
B,CC(C)(C)c1nc2c3ccc(F)cc3c3c(=O)[nH]ccc3c2[nH]1,CHEMBL21156,nM,690.0,Homo sapiens,IC50
B,CC(O)C(/N=C1/C=C(O)/C(=N\C(C(=O)O)C(C)O)C=C1O)C(=O)O,CHEMBL327725,nM,3000.0,Homo sapiens,IC50
B,O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)n[nH]1,CHEMBL115220,nM,10000.0,Homo sapiens,IC50
B,CC(C)OCc1ccc2c(c1)c1c3c(c4c(c1n2CCCO)Cc1ccccc1-4)C(=O)NC3,CHEMBL150894,nM,4.0,Homo sapiens,IC50
B,O=C(Nc1cccc(C(F)(F)F)c1)c1ccccc1NCc1ccncc1,CHEMBL153843,nM,18.0,Homo sapiens,IC50
B,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,CHEMBL24828,nM,233.0,Homo sapiens,IC50
B,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,CHEMBL276711,nM,50.0,Homo sapiens,IC50
B,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1.O=C(O)CCC(=O)O,CHEMBL75232,nM,195.0,Homo sapiens,IC50
B,O=C(Nc1cccc(-c2cncc3ccccc23)c1)c1ccccc1NCc1ccncc1,CHEMBL347537,nM,52.0,Homo sapiens,IC50
B,Cc1cccc(NC(=O)Nc2ccc(-c3csc4ncnc(N)c34)cc2)c1,CHEMBL196363,nM,13.0,Homo sapiens,IC50
B,Cc1sc2ncnc(N)c2c1-c1ccc(NC(=O)Nc2cc(C(F)(F)F)ccc2F)cc1,CHEMBL381207,nM,87.0,Homo sapiens,IC50
B,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12,CHEMBL383541,nM,50000.0,Homo sapiens,IC50
B,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL388978,nM,58.0,Homo sapiens,IC50
B,N[C@H](COc1cncc(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12,CHEMBL383264,nM,50000.0,Homo sapiens,IC50
B,c1cn(Cc2ccc3c(c2)-c2[nH]nc(-c4ccsc4)c2C3)cn1,CHEMBL212084,nM,169.0,Homo sapiens,IC50
B,CN1CCN(Cc2ccc3c(c2)-c2[nH]nc(-c4ccsc4)c2C3)CC1,CHEMBL213743,nM,1573.0,Homo sapiens,IC50
B,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3nsc4ncnc(N)c34)cc2)c1,CHEMBL262433,nM,68.0,Homo sapiens,IC50
B,Nc1ncnc2snc(-c3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)c12,CHEMBL214258,nM,23.0,Homo sapiens,IC50
B,Nc1ncnc2snc(-c3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3)c12,CHEMBL213504,nM,3.0,Homo sapiens,IC50
B,Cc1cccc(NC(=O)Nc2ccc(-c3nsc4ncnc(N)c34)cc2)c1,CHEMBL376951,nM,4.0,Homo sapiens,IC50
B,Clc1ccc2c(c1Nc1ncnc3cc(OCCCN4CCCC4)cc(OC4CCOCC4)c13)OCO2,CHEMBL217090,nM,10000.0,Homo sapiens,IC50
B,CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1,CHEMBL217092,nM,10000.0,Homo sapiens,IC50
B,CO[C@@H](C(=O)N1Cc2n[nH]c(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,CHEMBL402548,nM,161.0,Homo sapiens,IC50
B,COc1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)cc(OC)c1OC,CHEMBL201511,nM,5.0,Homo sapiens,IC50
B,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,CHEMBL223360,nM,190.0,Homo sapiens,IC50
B,CN1CCN(Cc2ccc3c(c2)Cc2c(-c4csc(C#CCOc5ccccc5)c4)n[nH]c2-3)CC1,CHEMBL390156,nM,3.0,Homo sapiens,IC50
B,COCCOCC#Cc1cc(-c2n[nH]c3c2Cc2ccc(Cn4cncn4)cc2-3)cs1,CHEMBL223971,nM,4.0,Homo sapiens,IC50
B,O=C(NCCCN1CCCC1=O)c1cnccc1Nc1nc(-c2cc(Br)ccc2F)nc2nccnc12,CHEMBL234655,nM,123.0,Homo sapiens,IC50
B,CCOc1cccc2c1c(/C=C1\C(=O)NN=C1c1snnc1C)cn2C,CHEMBL398610,nM,16.0,Homo sapiens,IC50
B,CC(C)(C)c1ccc(-n2ncc3c2-c2ccccc2NC(=O)C3)cc1,CHEMBL398877,nM,10000.0,Homo sapiens,IC50
B,CO/N=C(\C)c1ccc2c(c1)c1c3c(c4c(c1n2CC(C)C)CCc1nn(C)cc1-4)C(=O)NC3,CHEMBL258015,nM,10.0,Homo sapiens,IC50
B,COc1cc2nccc(Oc3ccc4c(C(=O)Nc5ccc(Cl)cc5)cccc4c3)c2cc1OC,CHEMBL429743,nM,2.0,Homo sapiens,IC50
B,CCCNC(=O)Nc1ccc(Oc2ncnc3cc(OC)c(OC)cc23)cc1Cl,CHEMBL406381,nM,125.0,Homo sapiens,IC50
B,Cc1cccc(C)c1/C=C/n1cnc2c(Nc3ccc(P(C)(C)=O)cc3)ncnc21,CHEMBL488840,nM,151.0,Homo sapiens,IC50
B,Cc1cccc(C)c1/C=C/n1cnc2c(Nc3ccc(P(C)(C)=O)cc3)ncnc21,CHEMBL488840,nM,1000.0,Homo sapiens,IC50
B,CS(=O)(=O)O.O=C(Nc1cccc(Cl)c1)Nc1ncc(CCN=c2[nH]cnc3ccsc23)s1,CHEMBL518051,nM,14.0,Homo sapiens,IC50
B,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,CHEMBL522892,nM,3.0,Homo sapiens,IC50
B,Nc1nccc(-c2cc3c([nH]2)[C@@H](CCF)CNC3=O)n1,CHEMBL524266,nM,4000.0,Homo sapiens,IC50
B,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,CHEMBL495727,nM,1.0,Homo sapiens,IC50
B,c1cc(Nc2ncnc3[nH]ccc23)cc(-c2nc3ccccc3s2)c1,CHEMBL490555,nM,10000.0,Homo sapiens,IC50
